id,user_id,group_id,balance_amount,last_updated
2,1,1,-1958.36,2025-05-31 15:13:24.264
32,2,1,1958.36,2025-05-31 15:13:24.819
3,1,2,0,2025-05-31 15:11:48.137
4,1,3,0,2025-05-31 15:11:48.434
6,1,4,0,2025-05-31 15:11:48.734
7,1,5,0,2025-05-31 15:11:49.034
9,1,6,0,2025-05-31 15:11:49.329
11,1,7,0,2025-05-31 15:11:49.698
12,1,8,0,2025-05-31 15:11:49.986
14,1,9,0,2025-05-31 15:11:50.279
16,1,10,0,2025-05-31 15:11:50.587
18,1,11,0,2025-05-31 15:11:50.888
19,1,12,0,2025-05-31 15:11:51.192
21,1,13,0,2025-05-31 15:11:51.484
23,1,14,0,2025-05-31 15:11:51.784
30,1,20,0,2025-05-31 15:11:52.222
31,3,20,0,2025-05-31 15:11:52.433
35,1,23,0,2025-05-31 15:11:52.996
36,2,23,0,2025-05-31 15:11:53.12
37,1,24,0,2025-05-31 15:11:53.601
